"dt","dau"
2019-10-01,190188
2019-10-02,184965
2019-10-03,170668
2019-10-04,209410
2019-10-05,194958
2019-10-06,193210
2019-10-07,186951
2019-10-08,221204
2019-10-09,214140
2019-10-10,205321
2019-10-11,230533
2019-10-12,208355
2019-10-13,225942
2019-10-14,209089
2019-10-15,230135
2019-10-16,230199
2019-10-17,208477
2019-10-18,229463
2019-10-19,217920
2019-10-20,231849
2019-10-21,225269
2019-10-22,223384
2019-10-23,219100
2019-10-24,206937
2019-10-25,223258
2019-10-26,202172
2019-10-27,201359
2019-10-28,195563
2019-10-29,193168
2019-10-30,191965
2019-10-31,198571
2019-11-01,223108
2019-11-02,234685
2019-11-03,240187
2019-11-04,275612
2019-11-05,262338
2019-11-06,256887
2019-11-07,278988
2019-11-08,286053
2019-11-09,268643
2019-11-10,276198
2019-11-11,292400
2019-11-12,285994
2019-11-13,285408
2019-11-14,308842
2019-11-15,379786
2019-11-16,487327
2019-11-17,487501
2019-11-18,319537
2019-11-19,290798
2019-11-20,291900
2019-11-21,287079
2019-11-22,249401
2019-11-23,249362
2019-11-24,240526
2019-11-25,257613
2019-11-26,252527
2019-11-27,256546
2019-11-28,253979
2019-11-29,286699
2019-11-30,255497
2019-12-01,258987
2019-12-02,246094
2019-12-03,257771
2019-12-04,236882
2019-12-05,248382
2019-12-06,261358
2019-12-07,262879
2019-12-08,262516
2019-12-09,269786
2019-12-10,283104
2019-12-11,276529
2019-12-12,295508
2019-12-13,282375
2019-12-14,282006
2019-12-15,321166
2019-12-16,383856
2019-12-17,384176
2019-12-18,403541
2019-12-19,383421
2019-12-20,360483
2019-12-21,333145
2019-12-22,376537
2019-12-23,399190
2019-12-24,385034
2019-12-25,386308
2019-12-26,377810
2019-12-27,341743
2019-12-28,290011
2019-12-29,374727
2019-12-30,423797
2019-12-31,335495
2020-01-01,282483
2020-01-02,321541
2020-01-03,296394
2020-01-04,300221
2020-01-05,316408
2020-01-06,299343
2020-01-07,288702
2020-01-08,279026
2020-01-09,270561
2020-01-10,265996
2020-01-11,283768
2020-01-12,291568
2020-01-13,278025
2020-01-14,269872
2020-01-15,270894
2020-01-16,295831
2020-01-17,290827
2020-01-18,350486
2020-01-19,369748
2020-01-20,334252
2020-01-21,306715
2020-01-22,285479
2020-01-23,282750
2020-01-24,253365
2020-01-25,264598
2020-01-26,271824
2020-01-27,254106
2020-01-28,270108
2020-01-29,269964
2020-01-30,287411
2020-01-31,337257
2020-02-01,378888
2020-02-02,290656
2020-02-03,264743
2020-02-04,242780
2020-02-05,253514
2020-02-06,263120
2020-02-07,294672
2020-02-08,257390
2020-02-09,277161
2020-02-10,276788
2020-02-11,269913
2020-02-12,355711
2020-02-13,372792
2020-02-14,343290
2020-02-15,309998
2020-02-16,343577
2020-02-17,337722
2020-02-18,348337
2020-02-19,339847
2020-02-20,350793
2020-02-21,314130
2020-02-22,309262
2020-02-23,309404
2020-02-24,315918
2020-02-25,308800
2020-02-26,314562
2020-02-28,189792
2020-02-29,234468
2020-03-01,294119
2020-03-02,366767
2020-03-03,395368
2020-03-04,392680
2020-03-05,406719
2020-03-06,380800
2020-03-07,386046
2020-03-08,338598
2020-03-09,378700
2020-03-10,388984
2020-03-11,372946
2020-03-12,305768
2020-03-13,245767
2020-03-14,220899
2020-03-15,220104
2020-03-16,219824
2020-03-17,204499
2020-03-18,179331
2020-03-19,199643
2020-03-20,223130
2020-03-21,207457
2020-03-22,196592
2020-03-23,208221
2020-03-24,209157
2020-03-25,209393
2020-03-26,206723
2020-03-27,201350
2020-03-28,197471
2020-03-29,186467
2020-03-30,189539
2020-03-31,192763
2020-04-01,212811
2020-04-02,222126
2020-04-03,224149
2020-04-04,220064
2020-04-05,214652
2020-04-06,222493
2020-04-07,225339
2020-04-08,249916
2020-04-09,261679
2020-04-10,280375
2020-04-11,284600
2020-04-12,293313
2020-04-13,320111
2020-04-14,289015
2020-04-15,343681
2020-04-16,377181
2020-04-17,362380
2020-04-18,340660
2020-04-19,307952
2020-04-20,348408
2020-04-21,348917
2020-04-22,354223
2020-04-23,361625
2020-04-24,376492
2020-04-25,370437
2020-04-26,380563
2020-04-27,374244
2020-04-28,374453
2020-04-29,362326
2020-04-30,352422
