"dt","orders"
2019-10-01,19307
2019-10-02,19469
2019-10-03,19255
2019-10-04,27041
2019-10-05,23494
2019-10-06,22171
2019-10-07,21378
2019-10-08,23072
2019-10-09,22748
2019-10-10,21993
2019-10-11,26224
2019-10-12,25373
2019-10-13,29561
2019-10-14,28405
2019-10-15,26372
2019-10-16,31394
2019-10-17,28318
2019-10-18,25850
2019-10-19,24657
2019-10-20,25098
2019-10-21,25167
2019-10-22,25385
2019-10-23,24731
2019-10-24,23999
2019-10-25,23929
2019-10-26,22653
2019-10-27,23403
2019-10-28,21112
2019-10-29,20374
2019-10-30,20817
2019-10-31,20099
2019-11-01,22458
2019-11-02,21864
2019-11-03,22145
2019-11-04,26889
2019-11-05,24875
2019-11-06,25319
2019-11-07,24863
2019-11-08,25714
2019-11-09,22768
2019-11-10,22878
2019-11-11,24931
2019-11-12,22725
2019-11-13,22548
2019-11-14,22124
2019-11-15,0
2019-11-16,68247
2019-11-17,185195
2019-11-18,28537
2019-11-19,24967
2019-11-20,24947
2019-11-21,25266
2019-11-22,24187
2019-11-23,22243
2019-11-24,23163
2019-11-25,24827
2019-11-26,24226
2019-11-27,24443
2019-11-28,24305
2019-11-29,32107
2019-11-30,28178
2019-12-01,28345
2019-12-02,28548
2019-12-03,24358
2019-12-04,24473
2019-12-05,25469
2019-12-06,27505
2019-12-07,27012
2019-12-08,25766
2019-12-09,26802
2019-12-10,27059
2019-12-11,25906
2019-12-12,26044
2019-12-13,26712
2019-12-14,26559
2019-12-15,35077
2019-12-16,63796
2019-12-17,51899
2019-12-18,49578
2019-12-19,48212
2019-12-20,46405
2019-12-21,44255
2019-12-22,44719
2019-12-23,46602
2019-12-24,44917
2019-12-25,44949
2019-12-26,44154
2019-12-27,43081
2019-12-28,45287
2019-12-29,49597
2019-12-30,50729
2019-12-31,38233
2020-01-01,7148
2020-01-02,0
2020-01-03,48754
2020-01-04,57876
2020-01-05,56854
2020-01-06,57750
2020-01-07,55444
2020-01-08,55020
2020-01-09,52984
2020-01-10,54962
2020-01-11,52118
2020-01-12,51738
2020-01-13,55050
2020-01-14,52644
2020-01-15,54242
2020-01-16,59228
2020-01-17,70172
2020-01-18,65768
2020-01-19,65096
2020-01-20,65238
2020-01-21,63396
2020-01-22,60178
2020-01-23,60796
2020-01-24,55158
2020-01-25,53324
2020-01-26,53760
2020-01-27,54104
2020-01-28,53682
2020-01-29,54806
2020-01-30,55224
2020-01-31,67500
2020-02-01,32536
2020-02-02,32308
2020-02-03,28645
2020-02-04,27652
2020-02-05,28276
2020-02-06,28533
2020-02-07,28426
2020-02-08,25379
2020-02-09,26027
2020-02-10,46480
2020-02-11,60013
2020-02-12,102117
2020-02-13,83216
2020-02-14,76048
2020-02-15,72365
2020-02-16,87586
2020-02-17,63260
2020-02-18,36377
2020-02-19,31438
2020-02-20,31258
2020-02-21,29324
2020-02-22,28946
2020-02-23,29017
2020-02-24,27884
2020-02-25,28063
2020-02-26,27809
2020-02-28,27490
2020-02-29,26316
2020-03-01,31358
2020-03-02,55087
2020-03-03,46356
2020-03-04,45228
2020-03-05,44406
2020-03-06,43521
2020-03-07,45501
2020-03-08,40281
2020-03-09,41091
2020-03-10,41681
2020-03-11,39266
2020-03-12,36268
2020-03-13,34754
2020-03-14,35341
2020-03-15,35943
2020-03-16,28852
2020-03-17,27810
2020-03-18,25186
2020-03-19,25501
2020-03-20,26232
2020-03-21,25775
2020-03-22,23698
2020-03-23,25314
2020-03-24,25960
2020-03-25,26259
2020-03-26,27487
2020-03-27,26966
2020-03-28,25817
2020-03-29,21294
2020-03-30,22704
2020-03-31,23997
2020-04-01,27250
2020-04-02,29639
2020-04-03,28900
2020-04-04,25449
2020-04-05,23845
2020-04-06,25050
2020-04-07,24045
2020-04-08,25544
2020-04-09,26410
2020-04-10,30056
2020-04-11,31179
2020-04-12,29752
2020-04-13,33751
2020-04-14,34105
2020-04-15,41573
2020-04-16,43563
2020-04-17,43421
2020-04-18,39800
2020-04-19,34089
2020-04-20,22
2020-04-21,29
2020-04-22,40618
2020-04-23,41499
2020-04-24,41579
2020-04-25,40945
2020-04-26,39870
2020-04-27,41703
2020-04-28,40669
2020-04-29,40671
2020-04-30,41733
